fEleEle1_r2	fEleEle1_r1	fAciRut3_r	fArcCen1_r	kPetMar1_r	fParRan2_r	fAnaTes1_d	fAnaTes1_r	fCycLum1_r	fDenClu1_r	fEsoLuc1_r	fSebUmb1_r	fHipHip1_r	fMegCyp1_r	fAntMac1_r1	fAntMac1_r2	fAntMac1_d	aBufBuf1_r1	aBufBuf1_r2	aRanTem1_r	aRanTem1_dr	aDenEbr1_r1	aDenEbr1_r2	rGopFla2_r	rDerCor1_r	rGopEvg1_r	rLacAgi1_dr	mZalCal1_r	mTriVul1_r1	mTriVul1_r2	mMusErm1_r	mPipPip1_r2	mLynCan4_r2	mLynCan4_r1	mTamTet1_r	mLutLut1_r	mOrnAna1_r	mLemCat1_r2	mLemCat1_r1	mMyoMyo1_r2	mMyoMyo1_r1	mRhiFer1_r1	mPhyDis1_r	mPipKuh1_r2	mPipKuh1_r1	mPipPip1_r1	bCarCri1_dr	bFalRus1_r	bBalReg1_d	bBalReg1_r	bCatUst1_d	bAcaChl1_d	bFalNau1_r1	bFalNau1_r2	bSteHir1_d	bMerNub1_rd	bStrHab1_r	bMelUnd1_d	bCucCan1_r	bAquChr1_r	bPogPus1_rd	bCicMag1_dr	bAlcTor1_d	bPluApr1_r	bPluApr1_d	bCalAnn1_d	bNycGra1_rd	bHemCom1_d
										6		2	-16	-52	-153	-63			-210	-64	89	5								30		-8	-12		-15	26	-9	-65	65	3	-3	-3	-33	-83								-9	-8			75			3	-83	276	-13	-500	186	357	97	105
										18		64	-151	130	13	43			30	-108	38	68								20		-5	23		-28	19	8	-58	-3	4	9	49	-21	3								1	-5			-30			-249	1366	248	-148	28	109	115	1044	151
										-19		-8	68	-52	103	2			64		183	17								22		-3	74		16	22	-1	-45	65	-3	34	-16	-25	-33								-2	-14			7			-145	100	155	-59	394	70	259	2115	83
										44		308	157	15	-49	49			12		0	132								-22		-4	159		0	8	0	66	37	3	6	-10	9	-15								81	16			12			-64	255	879	88	26	169	151	388	44
										52		-6	61	120	8	34			56		-5	134								40		3	-15		-1	109	2	-86	77	13	9	27	1	-14								-1	8			25			-103	720	273	-16	-1	127	77	201	-19
										-13		250	288	-45	605	-12			26		-19	170								20		-6	-15		-1	-49	11	115	-6	-8	6	66	22	128								21	8			25			-14	216	70	39	-192	84	-124	-90	417
										30		74	3	113	53	26			-28		-12	85								15		-25	-8		-3	28	-6	-54	-94	-3	11	-49	-26	-21								-3	7			8			252	187	984	-49	-251	30	181	-39	52
										41			49	113	47	5			-55		1	53								20		-13	-11		-6	78	14	-50	18	1	-4	9	-23	6								19	-31			165			-29	473	650	-42	-145	56	88	532	33
										47			-142	-50	164	185			9		-3	134								43		-2	-7		-1	107	-1	-3	-12	-3	176	10	27	19								24	11			-18			39	57	188	504	-148	650	-48	-41	265
										-3			-9	71	-163	27			38		8	114								31		-16	79		-4	43	-1	-9	22	5	30	-10	7	6								60	15			20			193	103	316	-34	607	1862	-88	367	75
										-34			31	5	-99	-5			36		22	146								7		-4	137		22	85	-1	-47	73	15	16	27	-25	-8								-113	-13			-22			-228	117	239	-155	-164	159	-306	-184	-163
													-125	-24	5	-31			0		-9	299								60		-2	-94		0	78	0	-35	81	8	2	-27	-65	57								206	0			116			-27	253	338	23	20	269	88	31	208
													46	27	4	-3			18		-108	69								2		-16	91		-1	15	0	-2	-9	9	20	39	-5	-4								4	17			-42			-125	-206	237	-88	208	61	-20	-91	249
													30	-11	16	9			44		193	213								52		-3			8	15	-5	25	137	14	-6	36	-23	-1								3	-14			14			5	178	459	-66	227	133	-50	-214	143
													41	-2	167	145			28		0	-79								-4		-1			-7	15	2	-6	0	-6	-6	-15	-19	60								82	24			17			-243	416	328	52	113	122	-142	-178	177
													-174	-106	116	5			6		17	-4								7		-7			1	8	-6	-28	14	38	-10	7	0	13								71	33			-28			79	192	972	-54	411	68	86	-257	47
													-166	-27	88	-26			35		-39	59								22					5	-2	-1	-26	11	15	-2	23	-13	22								58	37			4			69	128	139	28	-98	442	509	-244	10
													-66	108	67	1			64		4	56								31					2	0	-1	-25	-20	4	-7	155	5	8								51	-7			16			-34	246	86	-94	-177	27	184	342	116
													-2	0	209	-17			14		12	70								43					14	1	5	11	65	10	16	29	-11	-6								-33	-1			35			3	211	85	40	-16	200	43	-266	537
													0	41	-55	-38			32		3	157								29					-1	69	17	-63	3	-5	41	7	-3	-7								119	5			27			25	-76	214	-85	24	271	143	129	126
													-94	141	93	-39			86		32	4								41					-10	78	2	-64	12	71	4	65	-3	6								-81	-2			-15			-193	-39	355	50	-15	-7	183	44	55
													6	-12	54	2			-90		42	-2								40					0	70	3	-61	65	12	0	13	0	23								49	29			21			-172	-41	60	-55	116	38	205	-122	25
													5	177	-8	7			270		15	227								78					-4	64	0	-2	-6	-20	5	40	-30	-2								49	7			-153			-186	100	295	-1	-71	161	353	21	-94
													12	97	46	20			60		56	54								30					-4	54	30	-58	21	-1	15	-18	-21	-5								67	-12			80			-43	29	-142	15	551	209	-191	366	60
													57	-24	51	-2			9		8	63								20					-1	87	3	9	-11	2	10	-15	-22	-68								25	46			-12			-12	284	193	-99	423	177	-33	-429	37
													99	-14	60	12			431		11	-4								80					-5	71	-2	38	20	-9	-22	10	-10	-3								-15	27			3			-61	-168	289	-75	-1024	292	-368	161	67
													92	-16	10	30			-48		-1	190								22					31	87	2	-5	-122	0	-56	-3	15	14								19	-8			128			185	467	225	-88	-1025	282	281	-23	7
													9	-11	-8	26			32		25	104								8					9	40	-6	-3	37	16	34	346	2	-77								37	0			64			-33	-4	307	-146	-267	178	96	56	72
													-14	-5	-101	16			11		0	96								38					0	23	4	-36	31	12	-2	-16	-4	-6								37	7			77			270	46	292	-99	1279	394	75	-76	42
													-34	134	-53	18			38		-28	122								38					-53	-39	-1	-8	69	-3	63	-31	-22	36								51	21			-44			115	-109	123	387	-490	167	113	3132	68
													-131	-18	51	13			-8		-3	60								1					5	80	5	-41	36	25	-11	43	-11	-4								16	2			58			137	-163	490	13	143	165	74	-236	54
													24	51	49	11			1		202	57								23					5	16	18	-102	16	-2	1	-9	-8	97								77	41			20			-120	14	285	-78	135	85	92	1565	365
